   6.5420180e-01   1.0867654e+00   1.1061320e-01
   9.9147545e-02   6.8596676e-02   4.1554013e-02
   5.6351636e-02   5.8711517e-03   2.9133845e-02
   6.9217965e-01   9.0201699e-01   2.7647027e-01
   6.4179112e-02   3.2443002e-01   7.8366795e-01
   2.7111877e-01  -4.7443870e-02   1.2410893e-02
   5.2348611e-02   1.5719031e-02   1.1240812e-01
   9.4048743e-02   1.5219935e-02   1.3017783e-01
   1.5374085e-01   3.9094331e-02  -1.3561568e-01
   6.6287160e-01   9.7389914e-01   2.8191990e-01
   7.3927375e-01   1.1485271e+00   2.8981400e-01
   8.9666965e-01   1.0722193e+00   1.1510360e-02
   1.6959335e-01   4.2646247e-01   7.7217278e-01
   1.0443813e+00   8.7654295e-01   5.1656246e-02
   9.2218212e-01   7.6893185e-01   7.8330165e-03
   2.8448361e-01   3.5486715e-01   7.9649734e-01
   5.0478165e-01   9.9543975e-01   1.2908129e-01
   2.7145245e-02   1.9944612e-01   1.9297735e-02
   1.6888060e-01   8.0484322e-02  -2.0770760e-02
   6.4177313e-01   8.4916317e-01   9.4477582e-02
   8.7161104e-01   8.3562012e-01   5.4987651e-02
   5.1365598e-01   1.0079414e+00   2.1095680e-01
   7.5574058e-01   8.4494369e-01   2.8374828e-01
   8.0031487e-01   9.9546138e-01   1.4638936e-01
  -4.6334372e-03  -8.9478597e-02   2.5644419e-02
  -4.2629481e-02   4.5502618e-02   2.0077911e-01
  -6.2370657e-02  -2.0070392e-01  -7.8391538e-02
   6.5289671e-01   9.7879404e-01   2.8807481e-01
  -1.0870561e-01   3.1577573e-01   6.6013322e-01
  -1.6010829e-01  -9.9281676e-02   1.3029148e-01
   9.3171014e-02   4.3020654e-01   5.9592993e-01
   9.3018744e-01   9.6297348e-01   1.9782680e-01
   2.0580653e-01   3.6953481e-02   1.3809134e-01
  -9.2135414e-03   5.5037099e-01   5.8926688e-01
   8.2839586e-01   8.2612550e-01   1.8684495e-01
   9.8343982e-01   9.4636257e-01   2.1221769e-02
   8.8771162e-01   1.1320692e+00   3.9332334e-01
   1.5065439e-02   3.9597166e-01   8.0109152e-01
